CCSUID,CCSNAME,SRUNOM,WHTSPG_M,WHTWIN_M,BARLEY_M,OATS_M,TOTRYE_M,CORNGR_M,CANOLA_M,SOYBNS_M,DFPEAS_M,LENTIL_M,OTTAME_M,CORNSI_M
4801003,Cypress County,Cypress County,43167.0,-1.0,20906.0,2091.0,1635.0,-1.0,23237.0,0.0,20137.0,13778.0,10460.0,1631.0
4801008,Forty Mile County No. 8,Forty Mile County No. 8,63724.0,4846.0,40076.0,2946.0,2460.0,-1.0,44214.0,-1.0,31745.0,49957.0,3191.0,-1.0
4802001,Warner County No. 5,Warner County No. 5,35461.0,8392.0,43327.0,1150.0,3287.0,-1.0,43364.0,0.0,17465.0,28351.0,5208.0,7237.0
4802011,Lethbridge County,Lethbridge County,54277.0,9021.0,74324.0,3748.0,5972.0,4582.0,65286.0,553.0,17650.0,9572.0,10054.0,12679.0
4802021,Taber,Taber,44949.0,5216.0,28457.0,1146.0,-1.0,5136.0,33353.0,0.0,12257.0,7899.0,4533.0,2937.0
4803001,Cardston County,Cardston County,30409.0,5702.0,33018.0,1115.0,-1.0,1266.0,37154.0,0.0,7158.0,1070.0,11619.0,-1.0
4803011,Pincher Creek No. 9,Pincher Creek No. 9,10627.0,797.0,18594.0,1434.0,-1.0,0.0,8243.0,0.0,1561.0,0.0,4693.0,0.0
4803018,Willow Creek No. 26,Willow Creek No. 26,41433.0,1814.0,44537.0,3234.0,555.0,0.0,44995.0,0.0,15846.0,5496.0,9596.0,285.0
4804004,Special Area No. 2,Special Area No. 2,25678.0,-1.0,13818.0,7829.0,1108.0,259.0,18309.0,0.0,10229.0,1740.0,9197.0,2609.0
4804012,Special Area No. 3,Special Area No. 3,46383.0,768.0,18438.0,7311.0,520.0,-1.0,28740.0,40.0,27010.0,20582.0,10823.0,1014.0
4804020,Special Area No. 4,Special Area No. 4,33584.0,-1.0,13953.0,8683.0,953.0,-1.0,21573.0,0.0,11167.0,4666.0,5728.0,4227.0
4805001,Vulcan County,Vulcan County,89145.0,2416.0,46751.0,2723.0,1082.0,-1.0,85118.0,0.0,51514.0,16895.0,5724.0,972.0
4805012,Wheatland County,Wheatland County,121198.0,-1.0,66625.0,3281.0,-1.0,-1.0,105212.0,0.0,33301.0,-1.0,9573.0,-1.0
4805031,Starland County,Starland County,57595.0,-1.0,31528.0,1551.0,-1.0,-1.0,44998.0,-1.0,12827.0,-1.0,2322.0,4275.0
4805041,Kneehill County,Kneehill County,80273.0,-1.0,54267.0,2050.0,-1.0,-1.0,77163.0,-1.0,19713.0,-1.0,5947.0,-1.0
4806014,Rocky View County,Rocky View County,46489.0,1392.0,53387.0,4344.0,851.0,0.0,54266.0,0.0,5542.0,-1.0,13763.0,-1.0
4806016,Calgary,Calgary,-1.0,-1.0,3443.0,-1.0,0.0,0.0,4485.0,0.0,-1.0,-1.0,-1.0,0.0
4806028,Mountain View County,Mountain View County,42766.0,-1.0,49773.0,3790.0,435.0,1385.0,51212.0,0.0,6741.0,-1.0,23204.0,995.0
4807001,Provost No. 52,Provost No. 52,33791.0,1105.0,24279.0,6352.0,-1.0,-1.0,39874.0,0.0,7680.0,-1.0,6513.0,1640.0
4807011,Paintearth County No. 18,Paintearth County No. 18,34162.0,612.0,14171.0,9758.0,-1.0,-1.0,29589.0,0.0,6473.0,-1.0,12645.0,-1.0
4807019,Stettler County No. 6,Stettler County No. 6,48381.0,-1.0,39541.0,6414.0,-1.0,-1.0,49260.0,0.0,6476.0,-1.0,10801.0,2098.0
4807031,Flagstaff County,Flagstaff County,92734.0,-1.0,40210.0,6166.0,547.0,-1.0,96037.0,0.0,14126.0,0.0,4576.0,1635.0
4807049,Wainwright No. 61,Wainwright No. 61,53767.0,-1.0,23098.0,7414.0,-1.0,-1.0,63358.0,0.0,6785.0,-1.0,6240.0,1853.0
4808001,Red Deer County,Red Deer County,51987.0,-1.0,58586.0,5515.0,-1.0,-1.0,60891.0,0.0,4783.0,-1.0,14999.0,1987.0
4808022,Lacombe County,Lacombe County,41280.0,954.0,43841.0,4384.0,-1.0,357.0,48995.0,0.0,6553.0,-1.0,10548.0,3642.0
4808038,Ponoka County,Ponoka County,24732.0,-1.0,29277.0,7051.0,-1.0,-1.0,34816.0,0.0,-1.0,0.0,12461.0,5050.0
4809002,Clearwater County,Clearwater County,-1.0,-1.0,8811.0,4481.0,-1.0,0.0,4890.0,0.0,-1.0,0.0,22424.0,-1.0
4810001,Camrose County,Camrose County,76204.0,-1.0,42918.0,7741.0,-1.0,-1.0,92175.0,-1.0,8167.0,0.0,5598.0,1386.0
4810016,Beaver County,Beaver County,53612.0,-1.0,21932.0,6944.0,214.0,-1.0,63961.0,0.0,4595.0,0.0,7254.0,917.0
4810026,Minburn County No. 27,Minburn County No. 27,62419.0,982.0,26006.0,7874.0,-1.0,-1.0,77666.0,0.0,6490.0,0.0,4095.0,792.0
4810036,Vermilion River County,Vermilion River County,100027.0,-1.0,40760.0,12854.0,-1.0,732.0,118846.0,0.0,16883.0,-1.0,12756.0,4685.0
4810048,Two Hills County No. 21,Two Hills County No. 21,34080.0,-1.0,19451.0,4958.0,-1.0,-1.0,45616.0,0.0,5055.0,0.0,5309.0,540.0
4810058,Lamont County,Lamont County,37276.0,668.0,20396.0,8277.0,-1.0,0.0,49608.0,-1.0,2705.0,0.0,5696.0,-1.0
4811001,Wetaskiwin County No. 10,Wetaskiwin County No. 10,28277.0,336.0,20673.0,5165.0,260.0,-1.0,34433.0,0.0,3194.0,-1.0,14185.0,1041.0
4811012,Leduc County,Leduc County,31174.0,-1.0,23072.0,7115.0,-1.0,-1.0,35581.0,0.0,3070.0,0.0,9989.0,1280.0
4811032,Brazeau County,Brazeau County,-1.0,-1.0,1322.0,3519.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,15900.0,-1.0
4811034,Parkland County,Parkland County,12157.0,649.0,11585.0,5326.0,-1.0,-1.0,16760.0,-1.0,1852.0,0.0,11086.0,821.0
4811052,Strathcona County,Strathcona County,20024.0,-1.0,7209.0,3316.0,-1.0,0.0,22375.0,0.0,831.0,-1.0,4551.0,-1.0
4811059,Sturgeon County,Sturgeon County,46957.0,739.0,22582.0,7924.0,395.0,-1.0,55806.0,0.0,2035.0,486.0,7789.0,357.0
4811061,Edmonton,Edmonton,5195.0,0.0,2130.0,-1.0,-1.0,0.0,5553.0,0.0,-1.0,0.0,-1.0,-1.0
4812004,Bonnyville No. 87,Bonnyville No. 87,11375.0,-1.0,9283.0,5413.0,-1.0,-1.0,18496.0,-1.0,2779.0,0.0,12081.0,501.0
4812014,St. Paul County No. 19,St. Paul County No. 19,22441.0,805.0,20637.0,8831.0,246.0,-1.0,31547.0,0.0,3259.0,0.0,9647.0,604.0
4812022,Smoky Lake County,Smoky Lake County,15004.0,0.0,10391.0,3507.0,-1.0,-1.0,24980.0,0.0,2477.0,0.0,5246.0,396.0
4813018,Barrhead County No. 11,Barrhead County No. 11,24990.0,-1.0,21240.0,4663.0,-1.0,0.0,41284.0,0.0,1847.0,0.0,9827.0,1092.0
4813028,Westlock County,Westlock County,43825.0,-1.0,26265.0,8041.0,210.0,-1.0,63855.0,0.0,4528.0,0.0,7434.0,1079.0
4813029,Woodlands County,Woodlands County,1489.0,0.0,2567.0,1283.0,0.0,0.0,3085.0,0.0,746.0,0.0,7678.0,0.0
4813044,Athabasca County,Athabasca County,18066.0,660.0,12453.0,9300.0,-1.0,0.0,28092.0,0.0,1954.0,0.0,12345.0,362.0
4814003,Yellowhead County,Yellowhead County,-1.0,-1.0,10904.0,6370.0,238.0,0.0,4375.0,0.0,-1.0,0.0,18567.0,423.0
4815015,Bighorn No. 8,Bighorn No. 8,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0
4815037,Improvement District No. 12 Jasper Park,Improvement District No. 12 Jasper Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4815045,Ranchland No. 66,Ranchland No. 66,-1.0,0.0,-1.0,157.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
4816037,Wood Buffalo,Wood Buffalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4816051,Improvement District No. 24 Wood Buffalo,Improvement District No. 24 Wood Buffalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4817026,Northern Sunrise County,Northern Sunrise County,15066.0,0.0,12001.0,2136.0,0.0,-1.0,33601.0,0.0,2969.0,0.0,3643.0,-1.0
4817062,Clear Hills,Clear Hills,16321.0,-1.0,19702.0,11005.0,-1.0,0.0,27981.0,0.0,11646.0,-1.0,11951.0,-1.0
4817076,Northern Lights County,Northern Lights County,30321.0,714.0,20414.0,6142.0,-1.0,-1.0,46339.0,0.0,12360.0,0.0,9694.0,-1.0
4817095,Mackenzie County,Mackenzie County,20857.0,943.0,34382.0,25040.0,-1.0,178.0,62924.0,0.0,23636.0,-1.0,10081.0,253.0
4818015,Greenview No. 16,Greenview No. 16,20042.0,-1.0,11160.0,6930.0,-1.0,0.0,23074.0,0.0,5548.0,0.0,19690.0,127.0
4819041,Smoky River No. 130,Smoky River No. 130,69125.0,747.0,18044.0,6753.0,333.0,-1.0,97762.0,0.0,27167.0,0.0,3594.0,-1.0
4819049,Birch Hills County,Birch Hills County,22882.0,761.0,21906.0,3113.0,195.0,-1.0,50767.0,0.0,12359.0,-1.0,1841.0,45.0
4819054,Spirit River No. 133,Spirit River No. 133,13419.0,427.0,7060.0,2891.0,-1.0,-1.0,21258.0,0.0,6416.0,0.0,1990.0,0.0
4819059,Saddle Hills County,Saddle Hills County,25444.0,1538.0,13540.0,7881.0,496.0,0.0,34181.0,0.0,14509.0,1558.0,8462.0,-1.0
4819066,Fairview No. 136,Fairview No. 136,18877.0,-1.0,7197.0,1983.0,287.0,0.0,37702.0,34.0,4109.0,-1.0,1374.0,-1.0
4819071,Peace No. 135,Peace No. 135,6878.0,-1.0,6862.0,3037.0,0.0,0.0,16803.0,0.0,5350.0,0.0,6087.0,-1.0
4802031,Newell County,Newell County,34775.0,2165.0,21655.0,2084.0,-1.0,1955.0,29901.0,-1.0,10364.0,4861.0,9021.0,4764.0
4806001,Foothills County,Foothills County,33473.0,-1.0,36482.0,2483.0,431.0,-1.0,31169.0,0.0,8786.0,-1.0,12599.0,-1.0
4812037,Lac la Biche County,Lac la Biche County,5038.0,324.0,2610.0,4055.0,0.0,32.0,9039.0,0.0,-1.0,0.0,5332.0,204.0
4813001,Lac Ste. Anne County,Lac Ste. Anne County,9240.0,-1.0,8303.0,7548.0,-1.0,-1.0,14920.0,-1.0,1723.0,0.0,16302.0,682.0
4813036,Thorhild County,Thorhild County,14211.0,-1.0,8775.0,4573.0,0.0,0.0,24351.0,-1.0,2099.0,0.0,4568.0,-1.0
4817027,Big Lakes County,Big Lakes County,8867.0,-1.0,3841.0,3363.0,-1.0,0.0,13281.0,0.0,-1.0,-1.0,17497.0,82.0
4817033,Lesser Slave River No. 124,Lesser Slave River No. 124,8797.0,0.0,-1.0,1531.0,0.0,0.0,9665.0,0.0,-1.0,0.0,3991.0,-1.0
4819006,Grande Prairie County No. 1,Grande Prairie County No. 1,35614.0,809.0,31603.0,9972.0,-1.0,0.0,66642.0,0.0,11440.0,0.0,18524.0,-1.0
